timestamp_us,adc,lo_status
92573927,19360,0
92583927,7648,0
92593927,19056,0
92603927,7760,0
92613928,19552,0
92623928,7792,0
92633928,19744,0
92643928,7904,0
92653927,19472,0
92663928,8240,0
92673928,20016,0
92683928,7920,0
92693928,19376,0
92703927,7584,0
92713927,19696,0
92723927,7440,0
92733928,19264,0
92743927,7104,0
92753928,18896,0
92763928,7136,0
92773928,18960,0
92783928,6816,0
92793928,18352,0
92803928,6624,0
92813928,18256,0
92823927,7088,0
92833928,18816,0
92843928,6976,0
92853928,18656,0
92863928,6960,0
92873927,19200,0
92883928,7328,0
92893927,18768,0
92903927,7088,0
92913928,19184,0
92923928,7280,0
92933928,20288,0
92943927,8336,0
92953928,21216,0
92963928,8768,0
92973928,21216,0
92983928,7952,0
92993927,20880,0
93003928,7696,0
93013927,18416,0
93023927,7056,0
93033928,18464,0
93043927,7104,0
93053928,18368,0
93063928,7216,0
93073927,18512,0
93083927,7088,0
93093928,18448,0
93103928,7552,0
93113927,19344,0
93123928,7520,0
93133927,18256,0
93143927,6688,0
93153928,18592,0
93163928,6608,0
93173927,18064,0
93183927,6576,0
93193928,17888,0
93203927,5552,0
